question,answer,question_arm,answer_arm
who was the president after jfk died?,Lyndon B. Johnson.,ով էր նախագահը jfk-ի մահից հետո,Լինդոն Բ. Ջոնսոն.
what is the best currency to take to egypt 2013?,The best currency to take to Egypt in 2013 is the Egyptian pound.,ո՞րն է լավագույն արժույթը Եգիպտոս տանելու համար 2013 թ.,2013 թվականին Եգիպտոս տանելու լավագույն արժույթը եգիպտական ​​ֆունտն է:
what are the countries in the united kingdom?,"The countries in the United Kingdom are England, Scotland, Wales, and Northern Ireland.",որո՞նք են Միացյալ Թագավորության երկրները:,"Միացյալ Թագավորության երկրներն են Անգլիան, Շոտլանդիան, Ուելսը և Հյուսիսային Իռլանդիան։"
what planes does the navy have?,"The Navy has various types of planes including fighter jets, patrol aircraft, transport planes, and helicopters.",ինչ ինքնաթիռներ ունի նավատորմը,"Ռազմածովային նավատորմն ունի տարբեր տեսակի ինքնաթիռներ՝ ներառյալ կործանիչներ, պարեկային ինքնաթիռներ, տրանսպորտային ինքնաթիռներ և ուղղաթիռներ:"
where did benjamin franklin died?,"Benjamin Franklin died in Philadelphia, Pennsylvania.",որտեղ է մահացել Բենջամին Ֆրանկլինը,Բենջամին Ֆրանկլինը մահացել է Փենսիլվանիայի Ֆիլադելֆիայում:
where to visit in n. ireland?,"Some popular places to visit in Northern Ireland are the Giant's Causeway, Belfast, the Dark Hedges, the Carrick-a-Rede Rope Bridge, and the Mourne Mountains.",որտեղ այցելել n. Իռլանդիա?,"Հյուսիսային Իռլանդիայում այցելելու որոշ հայտնի վայրերն են՝ Հսկայական ճանապարհը, Բելֆաստը, Մութ ցանկապատերը, Քարիկ-ա-Ռեդ Ռոպ կամուրջը և Մորն լեռները:"
what to do in cancun with family?,"There are numerous activities to do with your family in Cancun, such as visiting the beautiful beaches, exploring the Mayan ruins, taking a boat tour to Isla Mujeres, visiting the interactive aquarium, or enjoying a day at a water park.",ինչ անել կանկունում ընտանիքի հետ.,"Կանկունում կան բազմաթիվ միջոցառումներ, որոնք կարող եք անել ձեր ընտանիքի հետ, ինչպիսիք են՝ այցելելով գեղեցիկ լողափեր, ուսումնասիրել մայաների ավերակները, նավով էքսկուրսիա կատարել դեպի Իսլա Մուջերես, այցելել ինտերակտիվ ակվարիում կամ մեկ օր վայելել ջրաշխարհում:"
what is the local language of israel?,The local language of Israel is Hebrew.,ո՞րն է Իսրայելի տեղական լեզուն:,Իսրայելի տեղական լեզուն եբրայերենն է։
what city and state was the air force academy established?,"Colorado Springs, Colorado.",ո՞ր քաղաքում և նահանգում է ստեղծվել ռազմաօդային ուժերի ակադեմիան:,"Կոլորադո Սփրինգս, Կոլորադո."
what's the national sport of puerto rico?,The national sport of Puerto Rico is baseball.,ո՞րն է Պուերտո Ռիկոյի ազգային սպորտը:,Պուերտո Ռիկոյի ազգային սպորտը բեյսբոլն է։
what religion are people in russia?,"The majority religion in Russia is Christianity, with the Russian Orthodox Church being the largest religious denomination.",ինչ կրոն են մարդիկ Ռուսաստանում,"Ռուսաստանում մեծամասնության կրոնը քրիստոնեությունն է, ընդ որում Ռուս ուղղափառ եկեղեցին ամենամեծ կրոնական ուղղությունն է:"
what did shawnee smith play in?,Shawnee Smith is an actress who is best known for her role as Amanda Young in the Saw film series.,Որտեղ է խաղացել Շոնի Սմիթը:,"Շոնի Սմիթը դերասանուհի է, ով առավել հայտնի է Ամանդա Յանգի դերով «Սոու» ֆիլմաշարում։"
what countries did queen victoria reign over?,Queen Victoria reigned over the United Kingdom of Great Britain and Ireland.,Ո՞ր երկրներում է թագավորել Վիկտորիա թագուհին:,Վիկտորյա թագուհին թագավորում էր Մեծ Բրիտանիայի և Իռլանդիայի Միացյալ Թագավորության վրա։
where did dr seuss go to school?,"Dr. Seuss, whose real name was Theodor Seuss Geisel, attended Dartmouth College.",որտե՞ղ է դոկտոր Սեուսը դպրոց հաճախել:,"Դոկտոր Սյուսը, ում իսկական անունը Թեոդոր Սուս Գեյզել էր, հաճախում էր Դարթմութ քոլեջը:"
what team does luis suarez play for?,Luis Suarez currently plays for Atletico Madrid.,Ո՞ր թիմում է խաղում Լուիս Սուարեսը,Լուիս Սուարեսը ներկայումս խաղում է Մադրիդի «Ատլետիկոյում»:
what are dollars called in spain?,"Dollars are not called anything specific in Spain, as the currency used in Spain is the Euro.",ինչ են անվանում դոլարը Իսպանիայում,"Իսպանիայում դոլարը ոչ մի կոնկրետ բան չի կոչվում, քանի որ Իսպանիայում օգտագործվող արժույթը եվրոն է:"
who plays meg in family guy?,Mila Kunis,ով է խաղում Մեգ ընտանիքի տղայի մեջ:,Միլա Կունիս
what high school did tim allen go to?,"Tim Allen attended Ernest W. Carroll Memorial High School in Birmingham, Michigan.",Ո՞ր ավագ դպրոց է սովորել Թիմ Ալենը:,Թիմ Ալենը հաճախել է Միչիգան ​​նահանգի Բիրմինգհեմ քաղաքի Էռնեստ Վ. Քերոլի հիշատակի ավագ դպրոցը:
what is the world's tallest building in dubai called?,Burj Khalifa,ինչպես է կոչվում աշխարհի ամենաբարձր շենքը Դուբայում.,Բուրջ Խալիֆա
where does asiana airlines fly to?,Asiana Airlines flies to various destinations worldwide.,Որ ուղղություններով է թռչում «Ասիանա Էիրլայնս» ավիաընկերությունը:,«Ասիանա Էիրլայնսը» թռչում է աշխարհի տարբեր ուղղություններով:
what movie did angelina jolie direct?,"""First They Killed My Father""",ինչ ֆիլմ է նկարահանել Անջելինա Ջոլին,«Նախ սպանեցին հորս»
where did martin luther king got shot?,"Martin Luther King was shot at the Lorraine Motel in Memphis, Tennessee.",որտեղ են կրակել Մարտին Լյութեր Քինգին,Մարտին Լյութեր Քինգը գնդակահարվել է Թենեսի նահանգի Մեմֆիս քաղաքի Լորեյն մոթելում:
where to visit near bangkok?,"Some popular places to visit near Bangkok are Ayutthaya, Pattaya, and Hua Hin.",որտեղ այցելել Բանգկոկի մոտ:,"Բանգկոկի մերձակայքում այցելելու որոշ հայտնի վայրերն են Այութայան, Պատտայան և Հուա Հին:"
who does christina milian have a baby by?,Lil' Wayne.,Ում կողմից է Քրիստինա Միլյանը երեխա ունենում.,Լիլ վեյն.
what year did tut became king?,Tut became king in 1332 BC.,ո՞ր տարում Թուտը դարձավ թագավոր,Թութը թագավոր է դարձել մ.թ.ա. 1332 թվականին։
who is the current president of the dominican republic in 2010?,"In 2010, the current president of the Dominican Republic was Leonel Fernández.",ով է Դոմինիկյան հանրապետության ներկայիս նախագահը 2010թ.,2010 թվականին Դոմինիկյան Հանրապետության ներկայիս նախագահը Լեոնել Ֆերնանդեսն էր։
who has been married to julia roberts?,Daniel Moder,ով է ամուսնացել Ջուլիա Ռոբերթսի հետ:,Դանիել Մոդեր
where do baltimore ravens play?,The Baltimore Ravens play at M&T Bank Stadium.,որտեղ են խաղում Բալթիմորի Ագռավները։, Բալթիմորի Ագռավները խաղում են «Մ&Թ» Բանկի  մարզադաշտում:
where does the un get its funding?,"The United Nations (UN) gets its funding from member states, through voluntary contributions and assessed contributions.",որտեղի՞ց է ՄԱԿ-ը ստանում իր ֆինանսավորումը:,Միավորված ազգերի կազմակերպությունը (ՄԱԿ) իր ֆինանսավորումը ստանում է անդամ երկրներից՝ կամավոր ներդրումների և գնահատված ներդրումների միջոցով:
who does brandon dubinsky play for?,Brandon Dubinsky plays for the Winnipeg Jets.,ո՞ւմ համար է խաղում Բրենդոն Դուբինսկին:,Բրենդոն Դուբինսկին խաղում է «Վինըփեգ Ջետսում»։
who all has dated taylor swift?,"Taylor Swift has dated several celebrities including Joe Jonas, Taylor Lautner, Jake Gyllenhaal, Harry Styles, Calvin Harris, Tom Hiddleston, and Joe Alwyn.",Ո՞վ է հանդիպել Թեյլոր Սվիֆթի հետ:,"Թեյլոր Սվիֆթը հանդիպել է մի քանի հայտնի մարդկանց հետ, ներառյալ Ջո Ջոնասը, Թեյլոր Լոթները, Ջեյք Ջիլենհոլը, Հարի Սթայլսը, Քելվին Հարիսը, Թոմ Հիդլսթոնը և Ջո Ալվինը:"
what is the dominant language in israel?,Hebrew is the dominant language in Israel.,ո՞րն է գերիշխող լեզուն Իսրայելում:,Իսրայելում գերիշխող լեզուն եբրայերենն է։
what are the main languages of nigeria?,"The main languages of Nigeria are Hausa, Igbo, and Yoruba.",որո՞նք են Նիգերիայի հիմնական լեզուները:,"Նիգերիայի հիմնական լեզուներն են հաուսան, իգբոն և յորուբան։"
